,iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
129,iteration_12,fold_9,0.1923076923076923,0.6680497925311203,0.8076923076923077,0.6923076923076923,0.8717948717948718,0.8047619047619049,0.9444444444444444,0.8095238095238095
130,iteration_13,fold_0,0.37037037037037035,0.7,0.6296296296296297,0.5185185185185185,0.7222222222222223,0.6954545454545454,0.9285714285714286,0.5909090909090909
131,iteration_13,fold_1,0.18518518518518523,0.6875,0.8148148148148148,0.6296296296296297,0.8717948717948718,0.8863636363636364,1.0,0.7727272727272727
132,iteration_13,fold_2,0.2222222222222222,0.7,0.7777777777777778,0.5555555555555556,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
133,iteration_13,fold_3,0.2222222222222222,0.7,0.7777777777777778,0.5555555555555556,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
134,iteration_13,fold_4,0.5185185185185186,0.7083333333333334,0.48148148148148145,0.25925925925925924,0.5,0.6666666666666666,1.0,0.3333333333333333
135,iteration_13,fold_5,0.2592592592592593,0.7083333333333334,0.7407407407407407,0.6666666666666666,0.8205128205128205,0.7142857142857143,0.8888888888888888,0.7619047619047619
136,iteration_13,fold_6,0.33333333333333337,0.7125,0.6666666666666666,0.4444444444444444,0.7272727272727273,0.7857142857142857,1.0,0.5714285714285714
137,iteration_13,fold_7,0.34615384615384615,0.7136929460580913,0.6538461538461539,0.5384615384615384,0.742857142857143,0.7095238095238096,0.9285714285714286,0.6190476190476191
138,iteration_13,fold_8,0.2692307692307693,0.6846473029045643,0.7307692307692307,0.5384615384615384,0.8,0.8333333333333333,1.0,0.6666666666666666
139,iteration_13,fold_9,0.34615384615384615,0.7136929460580913,0.6538461538461539,0.46153846153846156,0.7272727272727273,0.7857142857142857,1.0,0.5714285714285714
140,iteration_14,fold_0,0.2222222222222222,0.7208333333333333,0.7777777777777778,0.6666666666666666,0.85,0.7863636363636364,0.9444444444444444,0.7727272727272727
141,iteration_14,fold_1,0.4814814814814815,0.7,0.5185185185185185,0.3333333333333333,0.5806451612903226,0.7045454545454546,1.0,0.4090909090909091
142,iteration_14,fold_2,0.14814814814814814,0.6916666666666667,0.8518518518518519,0.7037037037037037,0.9,0.8452380952380952,0.9473684210526315,0.8571428571428571
143,iteration_14,fold_3,0.40740740740740744,0.7,0.5925925925925926,0.37037037037037035,0.6451612903225806,0.7380952380952381,1.0,0.47619047619047616
144,iteration_14,fold_4,0.40740740740740744,0.7,0.5925925925925926,0.4444444444444444,0.6666666666666667,0.6785714285714285,0.9166666666666666,0.5238095238095238
145,iteration_14,fold_5,0.37037037037037035,0.7208333333333333,0.6296296296296297,0.4074074074074074,0.6875000000000001,0.7619047619047619,1.0,0.5238095238095238
146,iteration_14,fold_6,0.2592592592592593,0.6958333333333333,0.7407407407407407,0.5185185185185185,0.8,0.8333333333333333,1.0,0.6666666666666666
147,iteration_14,fold_7,0.23076923076923073,0.7053941908713693,0.7692307692307693,0.6538461538461539,0.8421052631578947,0.7809523809523811,0.9411764705882353,0.7619047619047619
