iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision
iteration_5,fold_7,0.2307692307692307,0.8423236514522822,0.7692307692307693,0.9047619047619048,0.8636363636363636,0.5523809523809524,0.8260869565217391
iteration_5,fold_8,0.1923076923076923,0.8381742738589212,0.8076923076923077,1.0,0.8936170212765957,0.5,0.8076923076923077
iteration_5,fold_9,0.2307692307692307,0.8340248962655602,0.7692307692307693,0.7619047619047619,0.8421052631578947,0.7809523809523811,0.9411764705882352
iteration_6,fold_0,0.074074074074074,0.825,0.925925925925926,1.0,0.9565217391304348,0.8,0.9166666666666666
iteration_6,fold_1,0.4074074074074074,1.0,0.5925925925925926,0.6363636363636364,0.717948717948718,0.5181818181818182,0.8235294117647058
iteration_6,fold_2,0.1851851851851852,1.0,0.8148148148148148,0.9047619047619048,0.8837209302325582,0.7023809523809523,0.8636363636363636
iteration_6,fold_3,0.2592592592592593,0.8166666666666667,0.7407407407407407,0.9047619047619048,0.8444444444444444,0.5357142857142857,0.7916666666666666
iteration_6,fold_4,0.2592592592592593,1.0,0.7407407407407407,0.9047619047619048,0.8444444444444444,0.5357142857142857,0.7916666666666666
iteration_6,fold_5,0.2962962962962963,1.0,0.7037037037037037,0.8095238095238095,0.8095238095238095,0.5714285714285714,0.8095238095238095
iteration_6,fold_6,0.3333333333333333,0.825,0.6666666666666666,0.7619047619047619,0.7804878048780488,0.5476190476190477,0.8
iteration_6,fold_7,0.1538461538461538,0.8547717842323651,0.8461538461538461,0.9523809523809524,0.909090909090909,0.6761904761904762,0.8695652173913043
